id,subject,level,content,summary_simple,summary_medium,summary_advanced
lc_011,Geography,Medium,"Evaporation, condensation, precipitation, and collection are the main stages of the water cycle.","Evaporation, condensation, precipitation, and collection are the main stages of the water cycle.","Evaporation, condensation, precipitation, and collection are the main stages of the water cycle. Evaporation is the first stage of the cycle, followed by condensation.","Evaporation, condensation, precipitation, and collection are the main stages of the water cycle. Evaporation is the first stage of the cycle, followed by condensation and precipitation. The water cycle ends with the collection of water in the form of water droplets. The final stage is known as the evaporation stage."
lc_012,Geography,Hard,"The hydrologic cycle includes processes such as infiltration, runoff, transpiration, and groundwater flow, maintaining Earth's water balance.","The hydrologic cycle includes processes such as infiltration, runoff, transpiration, and groundwater flow, maintaining Earth's water balance.","The hydrologic cycle includes processes such as infiltration, runoff, transpiration, and groundwater flow, maintaining Earth's water balance. The hydrologist cycle is a process of changing the flow of water on Earth.","The hydrologic cycle includes processes such as infiltration, runoff, transpiration, and groundwater flow, maintaining Earth's water balance. The hydrologist cycle is a process of changing the flow of water through the Earth's rivers and streams. It also includes processes of evaporation, respiration, and transpiration."
lc_013,Science,Easy,"The Earth orbits the Sun once every 365 days, which creates a year.","The Earth orbits the Sun once every 365 days, which creates a year.","Earth orbits the Sun once every 365 days, which creates a year. The Earth orbits the sun once every 24 hours, creating a new year.","The Earth orbits the Sun once every 365 days, which creates a year. The Earth also orbits the sun once every year, creating a new year. It takes the Earth 365 days to orbit the Sun, or one year to complete a full orbit of the Sun. The Sun orbits the Earth once every 24 hours, or 365 days."
lc_014,Science,Medium,"The Earth's rotation on its axis causes day and night, while its revolution around the Sun causes seasons.","The Earth's rotation on its axis causes day and night, while its revolution around the Sun causes seasons.","The Earth's rotation on its axis causes day and night, while its revolution around the Sun causes seasons. The Earth is also at the center of the solar system, which is responsible for the seasons.","The Earth's rotation on its axis causes day and night, while its revolution around the Sun causes seasons. The Earth is also at the center of the solar system, which is responsible for the Earth's tilt and rotation. The solar system is one of the most Earth-based systems in the world."
lc_015,Science,Hard,"Earth's axial tilt of 23.5 degrees, combined with its orbit, produces varying solar insolation, creating the seasons.","Earth's axial tilt of 23.5 degrees, combined with its orbit, produces varying solar insolation.","Earth's axial tilt of 23.5 degrees, combined with its orbit, produces varying solar insolation, creating the seasons. Earth's orbit and tilt produce varying solarInsolation, which creates seasons.","Earth's axial tilt of 23.5 degrees, combined with its orbit, produces varying solar insolation, creating the seasons. Earth's orbit and tilt produce varying solarInsolation, which creates seasons. The seasons are caused by the Earth's tilt and its orbit around the sun, which produces different solar insolsions."
lc_016,Math,Easy,Addition combines numbers to find the total. Example: 2 + 3 = 5.,Addition combines numbers to find the total. Example: 2 + 3 = 5.,Addition combines numbers to find the total. Example: 2 + 3 = 5. Addition combined with other numbers makes a total of 5.,"Addition combines numbers to find the total. Example: 2 + 3 = 5. Addition combined with other numbers to get the total of a person or a person's name. For more information, visit Addition.org or the Addition section of the Wikipedia website. Back to Mail Online home.back to the page you came from."
lc_017,Math,Medium,Subtraction finds the difference between numbers. Example: 5 - 2 = 3.,Subtraction finds the difference between numbers. Example: 5 - 2 = 3.,Subtraction finds the difference between numbers. Example: 5 - 2 = 3. Subtraction can also be used to add two numbers together.,"Subtraction finds the difference between numbers. Example: 5 - 2 = 3. Subtraction can also be used to add two numbers together. For example: 5 + 2 = 5, 2 + 5 = 3, or 5 + 3 = 5. For more information, visit www.subtraction.org."
lc_018,Math,Hard,"Operations with integers include addition, subtraction, multiplication, and division, following the order of operations (PEMDAS)."," Operations with integers include addition, subtraction, multiplication, and division, following the order of operations (PEMDAS)","Operations with integers include addition, subtraction, multiplication, and division. Operations with integers follow the order of operations (PEMDAS)"," Operations with integers include addition, subtraction, multiplication, and division, following the order of operations (PEMDAS) Operations with fractions include addition and subtraction. Operations with compound numbers include multiplication, division, and addition. operations with real numbers include subtraction and multiplication, following order of operation (P EMDAS)."
lc_019,Geography,Easy,Continents are large land masses on Earth. There are seven continents.,Continents are large land masses on Earth. There are seven continents.,Continents are large land masses on Earth. There are seven continents. Continents are land masses that are larger than a city or town.,"Continents are large land masses on Earth. There are seven continents. Continents are land masses that are larger than a city or town. There is no word for continents in the English language. The word continents is used to refer to land masses in the Earth's geological history, not just land masses."
lc_020,Geography,Medium,"Earth's continents are Asia, Africa, North America, South America, Antarctica, Europe, and Australia.","Earth's continents are Asia, Africa, North America, South America, Antarctica, Europe, and Australia.","Earth's continents are Asia, Africa, North America, South America, Antarctica, Europe, and Australia. Earth's oceans are in the Pacific Ocean and the Atlantic Ocean.","Earth's continents are Asia, Africa, North America, South America, Antarctica, Europe, and Australia. Earth's oceans are in the Pacific Ocean, the Atlantic Ocean, and the Indian Ocean. The Earth is made up of seven continents: Africa, Asia, America, Australia, Antarctica and South America."
lc_021,Geography,Hard,Continental drift theory explains how tectonic plate movements shaped the current distribution of continents over geological time.,Continental drift theory explains how tectonic plate movements shaped the current distribution of continents.,Continental drift theory explains how tectonic plate movements shaped the current distribution of continents over geological time. Continental drift theory is based on the theory of plate tectonics.,"Continental drift theory explains how tectonic plate movements shaped the current distribution of continents over geological time. Continental drift theory is based on the theory of plate tectonism, which is the movement of plates on the Earth's surface. The theory has been used to explain how continents have been shaped over time."
